Starting h400_l2_d0
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 112 | Train Loss: 0.000687 | Validation Loss: 0.000955 | LR: 2.50e-04 | Time: 0.26mins
Epoch 113 | Train Loss: 0.000683 | Validation Loss: 0.000951 | LR: 2.50e-04 | Time: 0.26mins
Epoch 114 | Train Loss: 0.000681 | Validation Loss: 0.000955 | LR: 2.50e-04 | Time: 0.26mins
Epoch 115 | Train Loss: 0.000682 | Validation Loss: 0.000954 | LR: 2.50e-04 | Time: 0.26mins
Epoch 116 | Train Loss: 0.000682 | Validation Loss: 0.000950 | LR: 2.50e-04 | Time: 0.26mins
Epoch 117 | Train Loss: 0.000680 | Validation Loss: 0.000960 | LR: 2.50e-04 | Time: 0.26mins
Epoch 118 | Train Loss: 0.000678 | Validation Loss: 0.000960 | LR: 2.50e-04 | Time: 0.26mins
Epoch 119 | Train Loss: 0.000677 | Validation Loss: 0.000958 | LR: 2.50e-04 | Time: 0.26mins
Epoch 120 | Train Loss: 0.000677 | Validation Loss: 0.000953 | LR: 2.50e-04 | Time: 0.26mins
Epoch 121 | Train Loss: 0.000676 | Validation Loss: 0.000960 | LR: 2.50e-04 | Time: 0.26mins
Epoch 122 | Train Loss: 0.000675 | Validation Loss: 0.000954 | LR: 2.50e-04 | Time: 0.26mins
Epoch 123 | Train Loss: 0.000661 | Validation Loss: 0.000944 | LR: 1.25e-04 | Time: 0.26mins
Epoch 124 | Train Loss: 0.000657 | Validation Loss: 0.000948 | LR: 1.25e-04 | Time: 0.26mins
Epoch 125 | Train Loss: 0.000655 | Validation Loss: 0.000946 | LR: 1.25e-04 | Time: 0.26mins
Epoch 126 | Train Loss: 0.000655 | Validation Loss: 0.000948 | LR: 1.25e-04 | Time: 0.26mins
Epoch 127 | Train Loss: 0.000655 | Validation Loss: 0.000951 | LR: 1.25e-04 | Time: 0.26mins
Epoch 128 | Train Loss: 0.000655 | Validation Loss: 0.000948 | LR: 1.25e-04 | Time: 0.26mins
Epoch 129 | Train Loss: 0.000653 | Validation Loss: 0.000950 | LR: 1.25e-04 | Time: 0.26mins
Epoch 130 | Train Loss: 0.000647 | Validation Loss: 0.000948 | LR: 6.25e-05 | Time: 0.26mins
Epoch 131 | Train Loss: 0.000645 | Validation Loss: 0.000947 | LR: 6.25e-05 | Time: 0.26mins
Epoch 132 | Train Loss: 0.000645 | Validation Loss: 0.000946 | LR: 6.25e-05 | Time: 0.26mins
Epoch 133 | Train Loss: 0.000644 | Validation Loss: 0.000947 | LR: 6.25e-05 | Time: 0.26mins
Epoch 134 | Train Loss: 0.000644 | Validation Loss: 0.000950 | LR: 6.25e-05 | Time: 0.26mins
Epoch 135 | Train Loss: 0.000644 | Validation Loss: 0.000948 | LR: 6.25e-05 | Time: 0.26mins
Epoch 136 | Train Loss: 0.000640 | Validation Loss: 0.000948 | LR: 3.13e-05 | Time: 0.26mins
Epoch 137 | Train Loss: 0.000639 | Validation Loss: 0.000948 | LR: 3.13e-05 | Time: 0.26mins
Epoch 138 | Train Loss: 0.000639 | Validation Loss: 0.000948 | LR: 3.13e-05 | Time: 0.26mins
Epoch 139 | Train Loss: 0.000639 | Validation Loss: 0.000947 | LR: 3.13e-05 | Time: 0.26mins
Epoch 140 | Train Loss: 0.000638 | Validation Loss: 0.000948 | LR: 3.13e-05 | Time: 0.26mins
Epoch 141 | Train Loss: 0.000638 | Validation Loss: 0.000948 | LR: 3.13e-05 | Time: 0.26mins
Epoch 142 | Train Loss: 0.000636 | Validation Loss: 0.000948 | LR: 1.56e-05 | Time: 0.26mins
Epoch 143 | Train Loss: 0.000636 | Validation Loss: 0.000947 | LR: 1.56e-05 | Time: 0.26mins
