Starting h200_lr1e-3
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 51 | Train Loss: 0.001420 | Validation Loss: 0.001430 | LR: 1.00e-03 | Time: 0.11mins
Epoch 52 | Train Loss: 0.001423 | Validation Loss: 0.001401 | LR: 1.00e-03 | Time: 0.11mins
Epoch 53 | Train Loss: 0.001424 | Validation Loss: 0.001481 | LR: 1.00e-03 | Time: 0.11mins
Epoch 54 | Train Loss: 0.001403 | Validation Loss: 0.001400 | LR: 1.00e-03 | Time: 0.11mins
Epoch 55 | Train Loss: 0.001399 | Validation Loss: 0.001431 | LR: 1.00e-03 | Time: 0.11mins
Epoch 56 | Train Loss: 0.001404 | Validation Loss: 0.001433 | LR: 1.00e-03 | Time: 0.11mins
Epoch 57 | Train Loss: 0.001377 | Validation Loss: 0.001380 | LR: 1.00e-03 | Time: 0.11mins
Epoch 58 | Train Loss: 0.001378 | Validation Loss: 0.001430 | LR: 1.00e-03 | Time: 0.11mins
Epoch 59 | Train Loss: 0.001364 | Validation Loss: 0.001402 | LR: 1.00e-03 | Time: 0.11mins
Epoch 60 | Train Loss: 0.001377 | Validation Loss: 0.001358 | LR: 1.00e-03 | Time: 0.11mins
Epoch 61 | Train Loss: 0.001351 | Validation Loss: 0.001347 | LR: 1.00e-03 | Time: 0.11mins
Epoch 62 | Train Loss: 0.001328 | Validation Loss: 0.001378 | LR: 1.00e-03 | Time: 0.11mins
Epoch 63 | Train Loss: 0.001327 | Validation Loss: 0.001307 | LR: 1.00e-03 | Time: 0.11mins
Epoch 64 | Train Loss: 0.001310 | Validation Loss: 0.001326 | LR: 1.00e-03 | Time: 0.11mins
Epoch 65 | Train Loss: 0.001346 | Validation Loss: 0.001385 | LR: 1.00e-03 | Time: 0.11mins
Epoch 66 | Train Loss: 0.001316 | Validation Loss: 0.001306 | LR: 1.00e-03 | Time: 0.11mins
Epoch 67 | Train Loss: 0.001286 | Validation Loss: 0.001298 | LR: 1.00e-03 | Time: 0.11mins
Epoch 68 | Train Loss: 0.001287 | Validation Loss: 0.001348 | LR: 1.00e-03 | Time: 0.11mins
